n,r,t
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:government,text:government}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:Western,text:western}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:barrier,text:barrier}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:enter,text:enter}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:western asia,text:western asia}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:resource,text:resource}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:minimum,text:minimum}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:gini,text:gini}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:sdgs,text:sdgs}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:poverty,text:poverty}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:globally,text:globally}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:small,text:small}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:island,text:island}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:state,text:state}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:African,text:african}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:facility,text:facility}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:promote,text:promote}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:global,text:global}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:culture,text:culture}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:disability,text:disability}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:situation,text:situation}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:number,text:number}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:adult,text:adult}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:peer,text:equal}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:man,text:man}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:free,text:free}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:relevant,text:relevant}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:effective,text:effective}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:learning,text:learning}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:estimate,text:estimate}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:range,text:reach}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:remain,text:remain}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:educational,text:educational}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:scholarship,text:scholarship}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:water,text:water}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:electricity,text:electricity}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:train,text:train}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:opportunity,text:opportunity}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:advancement,text:progress}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:reading,text:reading}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:improve,text:improve}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:life,text:life}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:aid,text:help}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:tool,text:tool}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:universe,text:world}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:Foster,text:foster}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.003110419906687403},"{concept:local,text:local}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.004665629860031105},"{concept:face,text:face}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.004665629860031105},"{concept:low,text:low}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.004665629860031105},"{concept:vulnerable,text:vulnerable}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.004665629860031105},"{concept:substantially,text:substantially}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.05132192846034215},"{concept:education,text:education}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.026438569206842923},"{concept:school,text:school}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.02177293934681182},"{concept:primary,text:primary}"
