n,r,t
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.017107309486780714},"{concept:quality,text:quality}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.017107309486780714},"{concept:develop,text:develop}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.017107309486780714},"{concept:child,text:child}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.015552099533437015},"{concept:entree,text:access}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.012441679626749611},"{concept:subsaharan,text:subsaharan}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.012441679626749611},"{concept:2030,text:2030}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.01088646967340591},"{concept:development,text:development}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.01088646967340591},"{concept:sustainable,text:sustainable}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.01088646967340591},"{concept:skill,text:skill}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.01088646967340591},"{concept:lack,text:lack}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.01088646967340591},"{concept:girl,text:girl}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.01088646967340591},"{concept:include,text:include}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.00933125972006221},"{concept:achieve,text:achieve}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.00933125972006221},"{concept:teacher,text:teacher}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.00933125972006221},"{concept:subsaharan africa,text:subsaharan africa}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.00933125972006221},"{concept:secondary,text:secondary}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.00933125972006221},"{concept:ensure,text:ensure}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.007776049766718507},"{concept:age,text:age}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.007776049766718507},"{concept:woman,text:woman}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.007776049766718507},"{concept:provide,text:provide}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.007776049766718507},"{concept:training,text:training}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.007776049766718507},"{concept:people,text:people}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.007776049766718507},"{concept:gender,text:gender}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.006220839813374806},"{concept:young_person,text:youth}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.006220839813374806},"{concept:BASIC,text:basic}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.006220839813374806},"{concept:rate,text:rate}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.006220839813374806},"{concept:addition,text:increase}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.006220839813374806},"{concept:degree,text:level}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.006220839813374806},"{concept:goal,text:goal}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.006220839813374806},"{concept:cent,text:cent}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.006220839813374806},"{concept:vocational,text:vocational}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.006220839813374806},"{concept:nonproficiency,text:nonproficiency}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.004665629860031105},"{concept:group,text:group}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.004665629860031105},"{concept:inclusive,text:inclusive}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.004665629860031105},"{concept:need,text:need}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.004665629860031105},"{concept:literacy,text:literacy}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.004665629860031105},"{concept:male_child,text:boy}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.004665629860031105},"{concept:equality,text:equality}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.004665629860031105},"{concept:registration,text:enrolment}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.004665629860031105},"{concept:live,text:live}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.004665629860031105},"{concept:mathematic,text:mathematic}"
"{nombre:Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,id:4}",{peso:0.004665629860031105},"{concept:technical,text:technical}"
