n,r,t
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:efficiency,text:efficiency}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:focus,text:focus}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:Mobile,text:mobile}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:service,text:service}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:happen,text:happen}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:emission,text:emission}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:attention_deficit_disorder,text:add}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:important,text:important}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:driver,text:driver}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:income,text:income}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:improvement,text:improvement}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:health,text:health}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:achieve,text:achieve}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:standard,text:standard}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:ensure,text:ensure}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:populace,text:public}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.03225806451612903},"{concept:develop,text:develop}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.019969278033794162},"{concept:infrastructure,text:infrastructure}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.018433179723502304},"{concept:development,text:development}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.015360983102918587},"{concept:sustainable,text:sustainable}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.013824884792626729},"{concept:addition,text:increase}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.013824884792626729},"{concept:industrialization,text:industrialization}"
