,text,concept,weight
0,impact,impact,0.0030349013657056147
1,apply,apply,0.0030349013657056147
2,economic,economic,0.0030349013657056147
3,healthcare,healthcare,0.0030349013657056147
4,achieve,achieve,0.0030349013657056147
5,provide,provide,0.0030349013657056147
6,participation,engagement,0.0030349013657056147
7,2030,2030,0.0030349013657056147
8,significantly,significantly,0.0030349013657056147
9,online,online,0.0030349013657056147
10,3,3,0.0030349013657056147
11,legal,legal,0.0030349013657056147
12,experience,experience,0.0030349013657056147
13,prisoner,prisoner,0.0030349013657056147
14,rule,rule,0.0030349013657056147
15,age,age,0.0030349013657056147
16,bribery,bribery,0.0030349013657056147
17,trillion,million,0.0030349013657056147
18,protect,protect,0.0030349013657056147
19,challenge,challenge,0.0030349013657056147
20,transparent,transparent,0.0030349013657056147
21,place,topographic_point,0.0030349013657056147
22,violation,misdemeanor,0.0030349013657056147
23,significant,significant,0.0030349013657056147
24,decade,decade,0.0030349013657056147
25,important,important,0.0030349013657056147
26,social,sociable,0.0030349013657056147
27,remain,remain,0.0030349013657056147
28,function,function,0.0030349013657056147
29,service,service,0.0030349013657056147
30,cause,cause,0.0030349013657056147
31,hold,clasp,0.0030349013657056147
32,daily,daily,0.0030349013657056147
33,freedom,freedom,0.0030349013657056147
34,information,information,0.0030349013657056147
35,elect,chosen,0.0030349013657056147
36,representative,representative,0.0030349013657056147
37,inclusion,inclusion,0.0030349013657056147
38,different,different,0.0030349013657056147
39,opinion,opinion,0.0030349013657056147
40,policy,policy,0.004552352048558422
41,include,include,0.004552352048558422
42,strengthen,strengthen,0.004552352048558422
43,combat,combat,0.004552352048558422
44,10,10,0.004552352048558422
45,school,school,0.004552352048558422
46,live,live,0.004552352048558422
47,violence,violence,0.027314112291350532
48,child,child,0.027314112291350532
49,institution,institution,0.015174506828528073
50,society,society,0.013657056145675266
51,inclusive,inclusive,0.013657056145675266
52,goal,goal,0.013657056145675266
53,people,people,0.012139605462822459
54,development,development,0.012139605462822459
55,right,right,0.010622154779969651
56,justice,justice,0.010622154779969651
57,need,need,0.010622154779969651
58,affect,affect,0.010622154779969651
59,form,form,0.010622154779969651
60,peaceful,peaceful,0.009104704097116844
61,law,law,0.009104704097116844
62,level,degree,0.009104704097116844
63,world,universe,0.009104704097116844
64,sexual,sexual,0.007587253414264037
65,promote,promote,0.007587253414264037
66,sdgs,sdgs,0.007587253414264037
67,access,entree,0.007587253414264037
68,sustainable,sustainable,0.007587253414264037
69,international,International,0.007587253414264037
70,national,national,0.007587253414264037
71,corruption,corruptness,0.007587253414264037
72,community,community,0.006069802731411229
73,human,homo,0.006069802731411229
74,public,populace,0.006069802731411229
75,deliver,deliver,0.006069802731411229
76,abuse,maltreatment,0.006069802731411229
77,trafficking,trafficking,0.006069802731411229
78,accountable,accountable,0.006069802731411229
79,effective,effective,0.006069802731411229
80,birth,birth,0.006069802731411229
81,develop,develop,0.006069802731411229
82,reduce,reduce,0.006069802731411229
83,ensure,ensure,0.006069802731411229
84,crime,crime,0.006069802731411229
85,life,life,0.004552352048558422
86,government,government,0.004552352048558422
87,protection,protection,0.004552352048558422
88,address,address,0.004552352048558422
89,homicide,homicide,0.004552352048558422
90,build,physique,0.004552352048558422
91,subsaharan,subsaharan,0.004552352048558422
92,registration,registration,0.004552352048558422
93,worldwide,worldwide,0.004552352048558422
