,text,concept,weight
0,today,today,0.003472222222222222
1,job,occupation,0.003472222222222222
2,opportunity,opportunity,0.003472222222222222
3,challenge,challenge,0.003472222222222222
4,progress,advancement,0.003472222222222222
5,focus,focus,0.003472222222222222
6,account,history,0.003472222222222222
7,universal,universal,0.003472222222222222
8,share,share,0.003472222222222222
9,ensure,ensure,0.003472222222222222
10,support,support,0.003472222222222222
11,decade,decade,0.003472222222222222
12,major,major,0.003472222222222222
13,production,production,0.003472222222222222
14,death,death,0.003472222222222222
15,billionpeoplelack,billionpeoplelack,0.003472222222222222
16,greenhouse,greenhouse,0.003472222222222222
17,supply,supply,0.003472222222222222
18,nearly,nearly,0.003472222222222222
19,reach,range,0.003472222222222222
20,10,10,0.003472222222222222
21,subsaharan africa,subsaharan africa,0.003472222222222222
22,woman,woman,0.003472222222222222
23,girl,girl,0.003472222222222222
24,water,water,0.003472222222222222
25,night,night,0.003472222222222222
26,wellbeing,wellbeing,0.003472222222222222
27,impact,impact,0.003472222222222222
28,wood,wood,0.003472222222222222
29,charcoal,charcoal,0.003472222222222222
30,indoor,indoor,0.003472222222222222
31,find,discovery,0.003472222222222222
32,issue,issue,0.003472222222222222
33,accelerate,accelerate,0.003472222222222222
34,efficient,efficient,0.003472222222222222
35,able,able,0.003472222222222222
36,prioritize,prioritize,0.003472222222222222
37,travel,travel,0.003472222222222222
38,invest,invest,0.003472222222222222
39,new,new,0.003472222222222222
40,energy,energy,0.0642361111111111
41,electricity,electricity,0.026041666666666668
42,access,entree,0.026041666666666668
43,technology,technology,0.015625
44,renewable,renewable,0.015625
45,people,people,0.015625
46,goal,goal,0.015625
47,sustainable,sustainable,0.013888888888888888
48,need,need,0.013888888888888888
49,clean,clean_and_jerk,0.013888888888888888
50,fuel,fuel,0.012152777777777778
51,2030,2030,0.010416666666666666
52,increase,addition,0.010416666666666666
53,develop,develop,0.008680555555555556
54,infrastructure,infrastructure,0.008680555555555556
55,global,global,0.008680555555555556
56,air,air,0.006944444444444444
57,business,business,0.006944444444444444
58,affordable,affordable,0.006944444444444444
59,lack,lack,0.006944444444444444
60,change,change,0.006944444444444444
61,climate,climate,0.006944444444444444
62,efficiency,efficiency,0.006944444444444444
63,modern,modern,0.006944444444444444
64,transport,conveyance,0.005208333333333333
65,include,include,0.005208333333333333
66,power,power,0.005208333333333333
67,service,service,0.005208333333333333
68,source,beginning,0.005208333333333333
69,system,system,0.005208333333333333
70,reliable,reliable,0.005208333333333333
71,improve,improve,0.005208333333333333
72,subsaharan,subsaharan,0.005208333333333333
73,investment,investing,0.005208333333333333
74,world,universe,0.005208333333333333
75,pollution,pollution,0.005208333333333333
76,cause,cause,0.005208333333333333
77,coal,coal,0.005208333333333333
78,cooking,cooking,0.005208333333333333
79,gas,gas,0.005208333333333333
80,cleancooking,cleancooking,0.005208333333333333
81,emission,emission,0.003472222222222222
82,carbon,carbon,0.003472222222222222
83,reduce,reduce,0.003472222222222222
84,public,populace,0.003472222222222222
