,text,concept,weight
0,fresh,fresh,0.0029542097488921715
1,improved,improved,0.0029542097488921715
2,disaster,catastrophe,0.0029542097488921715
3,equitable,equitable,0.0029542097488921715
4,open,open,0.0029542097488921715
5,defecation,defecation,0.0029542097488921715
6,need,need,0.0029542097488921715
7,girl,girl,0.0029542097488921715
8,quality,quality,0.0029542097488921715
9,proportion,proportion,0.0029542097488921715
10,supply,supply,0.0029542097488921715
11,level,degree,0.0029542097488921715
12,waterrelated,waterrelated,0.0029542097488921715
13,aquifer,aquifer,0.0029542097488921715
14,lake,lake,0.0029542097488921715
15,cooperation,cooperation,0.0029542097488921715
16,develop,develop,0.0029542097488921715
17,efficiency,efficiency,0.0029542097488921715
18,recycling,recycling,0.0029542097488921715
19,reuse,reuse,0.0029542097488921715
20,support,support,0.0029542097488921715
21,local,local,0.0029542097488921715
22,ensure,ensure,0.0029542097488921715
23,daily,daily,0.0029542097488921715
24,latrine,latrine,0.0029542097488921715
25,discharge,discharge,0.0029542097488921715
26,sea,sea,0.0029542097488921715
27,treatment,treatment,0.0029542097488921715
28,more than 80,more than 80,0.0029542097488921715
29,experience,experience,0.0029542097488921715
30,severe,severe,0.0029542097488921715
31,month,calendar_month,0.0029542097488921715
32,at least one month,at least one month,0.0029542097488921715
33,relate,relate,0.0029542097488921715
34,goal,goal,0.0029542097488921715
35,food,food,0.0029542097488921715
36,growth,growth,0.0029542097488921715
37,correct,correct,0.0029542097488921715
38,unicef,United_Nations_Childrens_Fund,0.0029542097488921715
39,diarrhoeal,diarrhoeal,0.0029542097488921715
40,responsible,responsible,0.0029542097488921715
41,nearly,nearly,0.0029542097488921715
42,african,African,0.0029542097488921715
43,bank,bank,0.0029542097488921715
44,estimate,estimate,0.0029542097488921715
45,gdp,gross_domestic_product,0.0029542097488921715
46,infrastructure,infrastructure,0.0029542097488921715
47,continue,continue,0.0029542097488921715
48,biodiversity,biodiversity,0.0029542097488921715
49,india,India,0.0029542097488921715
50,millions,millions,0.0029542097488921715
51,organization,organization,0.0029542097488921715
52,work,work,0.0029542097488921715
53,invest,invest,0.0029542097488921715
54,development,development,0.0029542097488921715
55,community,community,0.0029542097488921715
56,lead,lead,0.0029542097488921715
57,win,win,0.0029542097488921715
58,facility,facility,0.004431314623338257
59,freshwater,fresh_water,0.004431314623338257
60,substantially,substantially,0.004431314623338257
61,reduce,reduce,0.004431314623338257
62,improve,improve,0.004431314623338257
63,safe,safe,0.004431314623338257
64,safely,safely,0.004431314623338257
65,10,10,0.004431314623338257
66,activity,activity,0.004431314623338257
67,pollution,pollution,0.004431314623338257
68,health,health,0.004431314623338257
69,global,global,0.004431314623338257
70,water,water,0.060561299852289516
71,sanitation,sanitation,0.023633677991137372
72,people,people,0.0206794682422452
73,access,entree,0.0206794682422452
74,cent,cent,0.01772525849335303
75,world,universe,0.01624815361890694
76,2030,2030,0.0103397341211226
77,drinking,drinking,0.0103397341211226
78,hygiene,hygiene,0.008862629246676515
79,poor,poor_people,0.008862629246676515
80,include,include,0.008862629246676515
81,service,service,0.008862629246676515
82,scarcity,scarcity,0.008862629246676515
83,population,population,0.008862629246676515
84,lack,lack,0.008862629246676515
85,increase,addition,0.007385524372230428
86,die,die,0.007385524372230428
87,child,child,0.007385524372230428
88,disease,disease,0.007385524372230428
89,basic,BASIC,0.007385524372230428
90,manage,manage,0.007385524372230428
91,river,river,0.007385524372230428
92,day,day,0.005908419497784343
93,human,homo,0.005908419497784343
94,ecosystem,ecosystem,0.005908419497784343
95,management,management,0.005908419497784343
96,economic,economic,0.005908419497784343
97,achieve,achieve,0.005908419497784343
98,wastewater,effluent,0.005908419497784343
99,source,beginning,0.005908419497784343
100,live,live,0.005908419497784343
101,action,action,0.004431314623338257
102,toilet,toilet,0.004431314623338257
103,result,consequence,0.004431314623338257
104,resource,resource,0.004431314623338257
105,woman,woman,0.004431314623338257
106,every year,every year,0.004431314623338257
107,sustainable,sustainable,0.004431314623338257
108,inadequate,inadequate,0.004431314623338257
109,impact,impact,0.004431314623338257
110,subsaharan,subsaharan,0.004431314623338257
111,affect,affect,0.004431314623338257
112,death,death,0.004431314623338257
