,text,concept,weight
0,subsidy,subsidy,0.0024813895781637717
1,fossilfuel,fossilfuel,0.0024813895781637717
2,national,national,0.0024813895781637717
3,encourage,encourage,0.0024813895781637717
4,minimize,minimize,0.0024813895781637717
5,adverse,adverse,0.0024813895781637717
6,loss,loss,0.0024813895781637717
7,management,management,0.0024813895781637717
8,implement,implement,0.0024813895781637717
9,framework,model,0.0024813895781637717
10,poor,poor_people,0.0024813895781637717
11,generation,coevals,0.0024813895781637717
12,phase,phase,0.0024813895781637717
13,consequently,consequently,0.0024813895781637717
14,project,undertaking,0.0024813895781637717
15,motor,motor,0.0024813895781637717
16,technological,technological,0.0024813895781637717
17,grow,grow,0.0024813895781637717
18,efficient,efficient,0.0024813895781637717
19,sustainability,sustainability,0.0024813895781637717
20,metric,metric_function,0.0024813895781637717
21,population,population,0.0024813895781637717
22,planet,planet,0.0024813895781637717
23,require,require,0.0024813895781637717
24,sustain,sustain,0.0024813895781637717
25,2050,2050,0.0024813895781637717
26,almost three,almost three,0.0024813895781637717
27,standard,standard,0.0024813895781637717
28,public,populace,0.0024813895781637717
29,procurement,procurement,0.0024813895781637717
30,significant,significant,0.0024813895781637717
31,final,final,0.0024813895781637717
32,gain,addition,0.0024813895781637717
33,continue,continue,0.0024813895781637717
34,future,future,0.0024813895781637717
35,strengthen,strengthen,0.0024813895781637717
36,efficiency,efficiency,0.0024813895781637717
37,access,entree,0.0024813895781637717
38,job,occupation,0.0024813895781637717
39,quality,quality,0.0024813895781637717
40,produce,produce,0.0024813895781637717
41,human,homo,0.0024813895781637717
42,consume,consume,0.0024813895781637717
43,resultant,resultant,0.0024813895781637717
44,29 per cent,29 per cent,0.0024813895781637717
45,pollute,pollute,0.0024813895781637717
46,faster,faster,0.0024813895781637717
47,purify,purify,0.0024813895781637717
48,river,river,0.0024813895781637717
49,lake,lake,0.0024813895781637717
50,action,action,0.0024813895781637717
51,well,well,0.0024813895781637717
52,service,service,0.0024813895781637717
53,affect,affect,0.0024813895781637717
54,system,system,0.0024813895781637717
55,enable,enable,0.0024813895781637717
56,improve,improve,0.0024813895781637717
57,possible,possible,0.0024813895781637717
58,main,main,0.0024813895781637717
59,example,example,0.0024813895781637717
60,agriculture,agribusiness,0.0024813895781637717
61,textile,fabric,0.0024813895781637717
62,today,today,0.0024813895781637717
63,local,local,0.0024813895781637717
64,adopt,adopt,0.0024813895781637717
65,change,change,0.0037220843672456576
66,accordance,accord,0.0037220843672456576
67,environment,environment,0.0037220843672456576
68,fresh,fresh,0.0037220843672456576
69,ton,short_ton,0.0037220843672456576
70,reach,range,0.0037220843672456576
71,equivalent,equivalent,0.0037220843672456576
72,include,include,0.0037220843672456576
73,information,information,0.0037220843672456576
74,supply,supply,0.0037220843672456576
75,air,air,0.0037220843672456576
76,soil,dirt,0.0037220843672456576
77,achieve,achieve,0.0037220843672456576
78,infrastructure,infrastructure,0.0037220843672456576
79,provide,provide,0.0037220843672456576
80,household,family,0.0037220843672456576
81,contribute,contribute,0.0037220843672456576
82,emission,emission,0.0037220843672456576
83,pollution,pollution,0.0037220843672456576
84,product,merchandise,0.0037220843672456576
85,chain,chain,0.0037220843672456576
86,solution,solution,0.0037220843672456576
87,lead,lead,0.0037220843672456576
88,recycle,recycle,0.0037220843672456576
89,sustainable,sustainable,0.02481389578163772
90,consumption,consumption,0.02109181141439206
91,water,water,0.018610421836228287
92,cent,cent,0.016129032258064516
93,energy,energy,0.016129032258064516
94,food,food,0.01240694789081886
95,impact,impact,0.01240694789081886
96,need,need,0.01240694789081886
97,production,production,0.01240694789081886
98,reduce,reduce,0.011166253101736972
99,global,global,0.009925558312655087
100,develop,develop,0.008684863523573201
101,waste,waste,0.008684863523573201
102,resource,resource,0.008684863523573201
103,consumer,consumer,0.007444168734491315
104,lifestyle,life_style,0.007444168734491315
105,environmental,environmental,0.007444168734491315
106,development,development,0.007444168734491315
107,increase,addition,0.007444168734491315
108,world,universe,0.00620347394540943
109,help,aid,0.00620347394540943
110,life,life,0.00620347394540943
111,pattern,form,0.00620347394540943
112,degradation,degradation,0.00620347394540943
113,current,current,0.00620347394540943
114,practice,practice,0.004962779156327543
115,second,second,0.004962779156327543
116,company,company,0.004962779156327543
117,ensure,ensure,0.004962779156327543
118,social,sociable,0.004962779156327543
119,cycle,cycle,0.004962779156327543
120,material,material,0.004962779156327543
121,nature,nature,0.004962779156327543
122,promote,promote,0.004962779156327543
123,economic,economic,0.004962779156327543
124,natural,natural,0.004962779156327543
125,people,people,0.004962779156327543
126,oecd,oecd,0.004962779156327543
127,vehicle,vehicle,0.004962779156327543
128,account,history,0.004962779156327543
129,take,return,0.004962779156327543
130,2030,2030,0.004962779156327543
131,business,business,0.0037220843672456576
132,buy,bargain,0.0037220843672456576
133,way,manner,0.0037220843672456576
134,plastic,plastic,0.0037220843672456576
