,text,concept,weight
0,mobilize,mobilize,0.0024271844660194173
1,significantly,significantly,0.0024271844660194173
2,water,water,0.0024271844660194173
3,urgent,urgent,0.0024271844660194173
4,significant,significant,0.0024271844660194173
5,reduce,reduce,0.0024271844660194173
6,enhance,enhance,0.0024271844660194173
7,capacity,capacity,0.0024271844660194173
8,2030,2030,0.0024271844660194173
9,restore,restore,0.0024271844660194173
10,reforestation,reforestation,0.0024271844660194173
11,ensure,ensure,0.0024271844660194173
12,mountain,mountain,0.0024271844660194173
13,develop,develop,0.0024271844660194173
14,know,know,0.0024271844660194173
15,nearly,nearly,0.0024271844660194173
16,illegal,illegal,0.0024271844660194173
17,globally,globally,0.0024271844660194173
18,drought,drought,0.0024271844660194173
19,agriculture,agribusiness,0.0024271844660194173
20,rural,rural,0.0024271844660194173
21,more than 80,more than 80,0.0024271844660194173
22,united,united,0.0024271844660194173
23,nations,nations,0.0024271844660194173
24,partner,spouse,0.0024271844660194173
25,contribute,contribute,0.0024271844660194173
26,medium,medium,0.0024271844660194173
27,spend,spend,0.0024271844660194173
28,welfare,social_welfare,0.0024271844660194173
29,undp,undp,0.0024271844660194173
30,mars,Mars,0.0024271844660194173
31,financial,financial,0.0024271844660194173
32,international,International,0.0024271844660194173
33,agreement,agreement,0.0024271844660194173
34,implement,implement,0.0024271844660194173
35,equitable,equitable,0.0024271844660194173
36,manage,manage,0.0024271844660194173
37,life,life,0.0024271844660194173
38,poverty,poverty,0.0024271844660194173
39,currently,currently,0.0024271844660194173
40,cover,screen,0.0024271844660194173
41,key,key,0.0024271844660194173
42,indigenous,indigenous,0.0024271844660194173
43,reduction,decrease,0.0024271844660194173
44,strategy,scheme,0.0024271844660194173
45,value,value,0.0024271844660194173
46,traditional,traditional,0.0024271844660194173
47,achieve,achieve,0.0024271844660194173
48,correct,correct,0.0024271844660194173
49,deliver,deliver,0.0024271844660194173
50,range,scope,0.0024271844660194173
51,threaten,threaten,0.0024271844660194173
52,disaster,catastrophe,0.0024271844660194173
53,cause,cause,0.0024271844660194173
54,freshwater,fresh_water,0.0024271844660194173
55,planet,planet,0.0024271844660194173
56,diversity,diverseness,0.0024271844660194173
57,eat,eat,0.0024271844660194173
58,diet,diet,0.0024271844660194173
59,energy,energy,0.0024271844660194173
60,opportunity,opportunity,0.0024271844660194173
61,order,order,0.0024271844660194173
62,healthy,healthy,0.0024271844660194173
63,wellmanaged,wellmanaged,0.0024271844660194173
64,community,community,0.0024271844660194173
65,poaching,poaching,0.0036407766990291263
66,trafficking,trafficking,0.0036407766990291263
67,directly,directly,0.0036407766990291263
68,poor,poor_people,0.0036407766990291263
69,terrestrial,terrestrial,0.0036407766990291263
70,lion,lion,0.0036407766990291263
71,share,share,0.0036407766990291263
72,effort,attempt,0.0036407766990291263
73,lose,lose,0.0036407766990291263
74,home,home,0.0036407766990291263
75,degrade,degrade,0.0036407766990291263
76,extinction,extinction,0.0036407766990291263
77,benefit,benefit,0.0036407766990291263
78,level,degree,0.0036407766990291263
79,insect,insect,0.0036407766990291263
80,food,food,0.0036407766990291263
81,deforestation,deforestation,0.0036407766990291263
82,habitat,habitat,0.0036407766990291263
83,soil,dirt,0.0036407766990291263
84,action,action,0.0036407766990291263
85,sustainably,sustainably,0.0036407766990291263
86,source,beginning,0.0036407766990291263
87,prevent,prevent,0.0036407766990291263
88,forest,forest,0.024271844660194174
89,cent,cent,0.02063106796116505
90,land,land,0.01699029126213592
91,specie,coinage,0.015776699029126214
92,biodiversity,biodiversity,0.014563106796116505
93,animal,animal,0.013349514563106795
94,ecosystem,ecosystem,0.012135922330097087
95,people,people,0.010922330097087379
96,provide,provide,0.010922330097087379
97,degradation,degradation,0.009708737864077669
98,desertification,desertification,0.009708737864077669
99,protect,protect,0.00849514563106796
100,sustainable,sustainable,0.00849514563106796
101,resource,resource,0.00849514563106796
102,management,management,0.007281553398058253
103,include,include,0.007281553398058253
104,increase,addition,0.007281553398058253
105,world,universe,0.007281553398058253
106,plant,plant,0.007281553398058253
107,global,global,0.007281553398058253
108,affect,affect,0.007281553398058253
109,conservation,conservation,0.007281553398058253
110,development,development,0.006067961165048544
111,wildlife,wildlife,0.006067961165048544
112,change,change,0.006067961165048544
113,loss,loss,0.006067961165048544
114,climate,climate,0.006067961165048544
115,halt,arrest,0.006067961165048544
116,combat,combat,0.006067961165048544
117,local,local,0.0048543689320388345
118,support,support,0.0048543689320388345
119,impact,impact,0.0048543689320388345
120,human,homo,0.0048543689320388345
121,natural,natural,0.0048543689320388345
122,estimate,estimate,0.0048543689320388345
123,service,service,0.0048543689320388345
124,risk,hazard,0.0048543689320388345
125,earth,Earth,0.0048543689320388345
126,livelihood,support,0.0048543689320388345
127,promote,promote,0.0048543689320388345
128,fund,fund,0.0048543689320388345
129,depend,depend,0.0048543689320388345
