n,r,t
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:chosen,text:elect}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:representative,text:representative}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:inclusion,text:inclusion}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:different,text:different}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:opinion,text:opinion}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:policy,text:policy}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:include,text:include}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:strengthen,text:strengthen}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:combat,text:combat}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:10,text:10}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:school,text:school}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:live,text:live}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.027314112291350532},"{concept:violence,text:violence}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.027314112291350532},"{concept:child,text:child}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.015174506828528073},"{concept:institution,text:institution}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.013657056145675266},"{concept:society,text:society}"
