n,r,t
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:local,text:local}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:ensure,text:ensure}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:daily,text:daily}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:latrine,text:latrine}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:discharge,text:discharge}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:sea,text:sea}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:treatment,text:treatment}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:more than 80,text:more than 80}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:experience,text:experience}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:severe,text:severe}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:calendar_month,text:month}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:at least one month,text:at least one month}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:relate,text:relate}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:goal,text:goal}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:food,text:food}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:growth,text:growth}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:correct,text:correct}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:United_Nations_Childrens_Fund,text:unicef}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:diarrhoeal,text:diarrhoeal}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:responsible,text:responsible}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:nearly,text:nearly}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:African,text:african}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:bank,text:bank}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:estimate,text:estimate}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:gross_domestic_product,text:gdp}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:infrastructure,text:infrastructure}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:continue,text:continue}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:biodiversity,text:biodiversity}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:India,text:india}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:millions,text:millions}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:organization,text:organization}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:work,text:work}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:invest,text:invest}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:development,text:development}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:community,text:community}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:lead,text:lead}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:win,text:win}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:facility,text:facility}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:fresh_water,text:freshwater}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:substantially,text:substantially}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:reduce,text:reduce}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:improve,text:improve}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:safe,text:safe}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:safely,text:safely}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:10,text:10}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:activity,text:activity}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:pollution,text:pollution}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:health,text:health}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:global,text:global}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.060561299852289516},"{concept:water,text:water}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.023633677991137372},"{concept:sanitation,text:sanitation}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0206794682422452},"{concept:people,text:people}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0206794682422452},"{concept:entree,text:access}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.01772525849335303},"{concept:cent,text:cent}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.01624815361890694},"{concept:universe,text:world}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0103397341211226},"{concept:2030,text:2030}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0103397341211226},"{concept:drinking,text:drinking}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.008862629246676515},"{concept:hygiene,text:hygiene}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.008862629246676515},"{concept:poor_people,text:poor}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.008862629246676515},"{concept:include,text:include}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.008862629246676515},"{concept:service,text:service}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.008862629246676515},"{concept:scarcity,text:scarcity}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.008862629246676515},"{concept:population,text:population}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.008862629246676515},"{concept:lack,text:lack}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.007385524372230428},"{concept:addition,text:increase}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.007385524372230428},"{concept:die,text:die}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.007385524372230428},"{concept:child,text:child}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.007385524372230428},"{concept:disease,text:disease}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.007385524372230428},"{concept:BASIC,text:basic}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.007385524372230428},"{concept:manage,text:manage}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.007385524372230428},"{concept:river,text:river}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.005908419497784343},"{concept:day,text:day}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.005908419497784343},"{concept:homo,text:human}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.005908419497784343},"{concept:ecosystem,text:ecosystem}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.005908419497784343},"{concept:management,text:management}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.005908419497784343},"{concept:economic,text:economic}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.005908419497784343},"{concept:achieve,text:achieve}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.005908419497784343},"{concept:effluent,text:wastewater}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.005908419497784343},"{concept:beginning,text:source}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.005908419497784343},"{concept:live,text:live}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:action,text:action}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:toilet,text:toilet}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:consequence,text:result}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:resource,text:resource}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:woman,text:woman}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:every year,text:every year}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:sustainable,text:sustainable}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:inadequate,text:inadequate}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:impact,text:impact}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:subsaharan,text:subsaharan}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:affect,text:affect}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.004431314623338257},"{concept:death,text:death}"
