n,r,t
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:fresh,text:fresh}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:improved,text:improved}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:catastrophe,text:disaster}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:equitable,text:equitable}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:open,text:open}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:defecation,text:defecation}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:need,text:need}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:girl,text:girl}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:quality,text:quality}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:proportion,text:proportion}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:supply,text:supply}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:degree,text:level}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:waterrelated,text:waterrelated}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:aquifer,text:aquifer}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:lake,text:lake}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:cooperation,text:cooperation}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:develop,text:develop}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:efficiency,text:efficiency}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:recycling,text:recycling}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:reuse,text:reuse}"
"{nombre:Ensure availability and sustainable management of water and sanitation for all,id:6}",{peso:0.0029542097488921715},"{concept:support,text:support}"
