n,r,t
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:invest,text:invest}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:new,text:new}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.0642361111111111},"{concept:energy,text:energy}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.026041666666666668},"{concept:electricity,text:electricity}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.026041666666666668},"{concept:entree,text:access}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.015625},"{concept:technology,text:technology}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.015625},"{concept:renewable,text:renewable}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.015625},"{concept:people,text:people}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.015625},"{concept:goal,text:goal}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.013888888888888888},"{concept:sustainable,text:sustainable}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.013888888888888888},"{concept:need,text:need}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.013888888888888888},"{concept:clean_and_jerk,text:clean}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.012152777777777778},"{concept:fuel,text:fuel}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.010416666666666666},"{concept:2030,text:2030}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.010416666666666666},"{concept:addition,text:increase}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.008680555555555556},"{concept:develop,text:develop}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.008680555555555556},"{concept:infrastructure,text:infrastructure}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.008680555555555556},"{concept:global,text:global}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.006944444444444444},"{concept:air,text:air}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.006944444444444444},"{concept:business,text:business}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.006944444444444444},"{concept:affordable,text:affordable}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.006944444444444444},"{concept:lack,text:lack}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.006944444444444444},"{concept:change,text:change}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.006944444444444444},"{concept:climate,text:climate}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.006944444444444444},"{concept:efficiency,text:efficiency}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.006944444444444444},"{concept:modern,text:modern}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:conveyance,text:transport}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:include,text:include}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:power,text:power}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:service,text:service}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:beginning,text:source}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:system,text:system}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:reliable,text:reliable}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:improve,text:improve}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:subsaharan,text:subsaharan}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:investing,text:investment}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:universe,text:world}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:pollution,text:pollution}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:cause,text:cause}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:coal,text:coal}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:cooking,text:cooking}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:gas,text:gas}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.005208333333333333},"{concept:cleancooking,text:cleancooking}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:emission,text:emission}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:carbon,text:carbon}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:reduce,text:reduce}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:populace,text:public}"
