n,r,t
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:today,text:today}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:occupation,text:job}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:opportunity,text:opportunity}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:challenge,text:challenge}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:advancement,text:progress}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:focus,text:focus}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:history,text:account}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:universal,text:universal}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:share,text:share}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:ensure,text:ensure}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:support,text:support}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:decade,text:decade}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:major,text:major}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:production,text:production}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:death,text:death}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:billionpeoplelack,text:billionpeoplelack}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:greenhouse,text:greenhouse}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:supply,text:supply}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:nearly,text:nearly}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:range,text:reach}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:10,text:10}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:subsaharan africa,text:subsaharan africa}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:woman,text:woman}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:girl,text:girl}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:water,text:water}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:night,text:night}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:wellbeing,text:wellbeing}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:impact,text:impact}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:wood,text:wood}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:charcoal,text:charcoal}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:indoor,text:indoor}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:discovery,text:find}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:issue,text:issue}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:accelerate,text:accelerate}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:efficient,text:efficient}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:able,text:able}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:prioritize,text:prioritize}"
"{nombre:Ensure access to affordable, reliable, sustainable and modern energy for all,id:7}",{peso:0.003472222222222222},"{concept:travel,text:travel}"
