n,r,t
"{nombre:Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss,id:15}",{peso:0.0024271844660194173},"{concept:mobilize,text:mobilize}"
"{nombre:Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss,id:15}",{peso:0.0024271844660194173},"{concept:significantly,text:significantly}"
"{nombre:Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss,id:15}",{peso:0.0024271844660194173},"{concept:water,text:water}"
"{nombre:Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss,id:15}",{peso:0.0024271844660194173},"{concept:urgent,text:urgent}"
"{nombre:Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss,id:15}",{peso:0.0024271844660194173},"{concept:significant,text:significant}"
"{nombre:Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss,id:15}",{peso:0.0024271844660194173},"{concept:reduce,text:reduce}"
"{nombre:Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss,id:15}",{peso:0.0024271844660194173},"{concept:enhance,text:enhance}"
"{nombre:Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss,id:15}",{peso:0.0024271844660194173},"{concept:capacity,text:capacity}"
"{nombre:Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss,id:15}",{peso:0.0024271844660194173},"{concept:2030,text:2030}"
"{nombre:Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss,id:15}",{peso:0.0024271844660194173},"{concept:restore,text:restore}"
"{nombre:Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss,id:15}",{peso:0.0024271844660194173},"{concept:reforestation,text:reforestation}"
"{nombre:Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss,id:15}",{peso:0.0024271844660194173},"{concept:ensure,text:ensure}"
"{nombre:Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss,id:15}",{peso:0.0024271844660194173},"{concept:mountain,text:mountain}"
