n,r,t
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.010526315789473684},"{concept:develop,text:develop}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.009210526315789473},"{concept:protect,text:protect}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.009210526315789473},"{concept:sustainable,text:sustainable}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.009210526315789473},"{concept:resource,text:resource}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.009210526315789473},"{concept:impact,text:impact}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.009210526315789473},"{concept:goal,text:goal}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.007894736842105263},"{concept:degree,text:level}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.007894736842105263},"{concept:global,text:global}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.007894736842105263},"{concept:universe,text:world}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.007894736842105263},"{concept:biodiversity,text:biodiversity}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.007894736842105263},"{concept:pollution,text:pollution}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.006578947368421052},"{concept:sea,text:sea}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.006578947368421052},"{concept:contribute,text:contribute}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.006578947368421052},"{concept:management,text:management}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.006578947368421052},"{concept:ecosystem,text:ecosystem}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.006578947368421052},"{concept:fishing,text:fishing}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.006578947368421052},"{concept:subsidy,text:subsidy}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.006578947368421052},"{concept:include,text:include}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.006578947368421052},"{concept:economic,text:economic}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.005263157894736842},"{concept:need,text:need}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.005263157894736842},"{concept:reduce,text:reduce}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.005263157894736842},"{concept:action,text:action}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.005263157894736842},"{concept:small,text:small}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.005263157894736842},"{concept:provide,text:provide}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.005263157894736842},"{concept:water,text:water}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.005263157894736842},"{concept:debris,text:debris}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:life,text:life}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:return,text:take}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:change,text:change}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:topographic_point,text:place}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:merchandise,text:product}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:food,text:food}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:current,text:current}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:climate,text:climate}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:future,text:future}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:acidification,text:acidification}"
