n,r,t
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:term,text:term}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:collapse,text:collapse}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:coral,text:coral}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:environment,text:environment}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:home,text:home}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:organism,text:organism}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:extenuation,text:mitigation}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:aid,text:help}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:damage,text:damage}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:conservation,text:conservation}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:unclos,text:unclos}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:smallscale,text:smallscale}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:transportation,text:transfer}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:technology,text:technology}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:health,text:health}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:enhance,text:enhance}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:benefit,text:benefit}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:island,text:island}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:state,text:state}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:tourism,text:tourism}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:effective,text:effective}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:law,text:law}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:illegal,text:illegal}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:unreported,text:unreported}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:unregulated,text:unregulated}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:practice,text:practice}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:implement,text:implement}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:biological,text:biological}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:sustainably,text:sustainably}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:achieve,text:achieve}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:healthy,text:healthy}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:cooperation,text:cooperation}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:particular,text:particular}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:2050,text:2050}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:eutrophication,text:eutrophication}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:open,text:open}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:26 per cent,text:26 per cent}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:prevent,text:prevent}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:restore,text:restore}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:beginning,text:source}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:protein,text:protein}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:produce,text:produce}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:homo,text:human}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:buffer,text:buffer}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:coinage,text:specie}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:market,text:market}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:industry,text:industry}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:depend,text:depend}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:support,text:livelihood}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:contain,text:contain}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:live,text:live}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:scale,text:scale}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:ocean acidification,text:ocean acidification}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:key,text:key}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:trade,text:trade}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:regulate,text:regulate}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:system,text:system}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:start,text:start}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:populace,text:public}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:save,text:save}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:daily,text:daily}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:carbon,text:carbon}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.002631578947368421},"{concept:eliminate,text:eliminate}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:reef,text:reef}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:improve,text:improve}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:conserve,text:conserve}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:International,text:international}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:order,text:order}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:scientific,text:scientific}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:fish,text:fish}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:attempt,text:effort}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:estimate,text:estimate}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:people,text:people}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:effectively,text:effectively}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:manage,text:manage}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.003947368421052632},"{concept:overfishing,text:overfishing}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.03289473684210526},"{concept:ocean,text:ocean}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.02894736842105263},"{concept:Marine,text:marine}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.011842105263157895},"{concept:coastal,text:coastal}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.011842105263157895},"{concept:cent,text:cent}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.010526315789473684},"{concept:Earth,text:earth}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.010526315789473684},"{concept:fishery,text:fishery}"
"{nombre:Conserve and sustainably use the oceans, seas and marine resources for sustainable development,id:14}",{peso:0.010526315789473684},"{concept:addition,text:increase}"
