n,r,t
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:subsidy,text:subsidy}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:fossilfuel,text:fossilfuel}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:national,text:national}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:encourage,text:encourage}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:minimize,text:minimize}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:adverse,text:adverse}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:loss,text:loss}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:management,text:management}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:implement,text:implement}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:model,text:framework}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:poor_people,text:poor}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:coevals,text:generation}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:phase,text:phase}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:consequently,text:consequently}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:undertaking,text:project}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:motor,text:motor}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:technological,text:technological}"
"{nombre:Ensure sustainable consumption and production patterns,id:12}",{peso:0.0024813895781637717},"{concept:grow,text:grow}"
